seq,frame,track_id,lost_duration,det_score,cost,gpr_sigma_px,det_iou,det_gt_id,prior_frame,prior_iou,prior_gt_id,displacement,disp_norm,correct,recovered_real
MOT17-02-FRCNN,15,8,2,0.3359435796737671,0.05357684235312943,4.00059324502852,0.049,-1,13,0.046,-1,6.6,0.014,0,0
MOT17-02-FRCNN,24,22,2,0.2119215726852417,0.13266609278756825,2.1889935017863933,0.274,-1,22,0.244,-1,2.4,0.027,0,0
MOT17-02-FRCNN,31,22,2,0.20676803588867188,0.11921322632231579,2.0058774660361762,0.293,-1,29,0.301,-1,1.6,0.018,0,0
MOT17-02-FRCNN,31,32,1,0.5526509284973145,0.12100222839444807,0.5327780524289945,0.023,-1,30,0.04,-1,0.2,0.003,0,0
MOT17-02-FRCNN,61,24,2,0.1412036418914795,0.1463929410631699,1.4288580673518614,0.0,-1,59,0.0,-1,3.4,0.052,0,0
MOT17-02-FRCNN,69,28,1,0.14179766178131104,0.041391879744844484,1.3429001309001247,0.775,21,68,0.705,21,0.8,0.007,1,1
MOT17-02-FRCNN,70,28,1,0.3414602279663086,0.08347136535580812,1.2925079922422555,0.787,21,69,0.754,21,1.8,0.016,1,1
MOT17-02-FRCNN,73,28,1,0.4495229721069336,0.08950544778897918,1.2982703557907027,0.734,21,72,0.696,21,2.9,0.027,1,1
MOT17-02-FRCNN,85,4,2,0.2031097412109375,0.1470452320686697,3.972024308595474,0.126,-1,83,0.138,-1,6.0,0.023,0,0
MOT17-02-FRCNN,86,17,30,0.1559543013572693,0.1219109112705844,1.7815065582442537,0.35,-1,56,0.299,-1,8.5,0.082,0,0
MOT17-02-FRCNN,86,9,9,0.26321732997894287,0.14152828433637,1.255882288981538,0.229,-1,77,0.183,-1,3.1,0.055,0,0
MOT17-02-FRCNN,93,5,6,0.26082873344421387,0.12031223404939984,2.134105774542628,0.387,-1,87,0.455,-1,3.6,0.033,0,0
MOT17-02-FRCNN,93,8,2,0.3914315700531006,0.05298953286274011,3.5530905981016585,0.031,-1,91,0.033,-1,2.7,0.005,0,0
MOT17-02-FRCNN,99,21,11,0.10703372955322266,0.09427387124117936,2.3049899137476877,0.714,31,88,0.721,31,4.2,0.046,1,1
MOT17-02-FRCNN,100,29,1,0.40752315521240234,0.14081697826166895,2.093892642394814,0.418,-1,99,0.376,-1,6.4,0.099,0,0
MOT17-02-FRCNN,103,8,3,0.3278195858001709,0.0840355715900053,4.101277937962338,0.041,-1,100,0.039,-1,0.2,0.0,0,0
MOT17-02-FRCNN,115,13,1,0.17666500806808472,0.08089454884446468,0.5227630294136169,0.152,-1,114,0.195,-1,1.2,0.016,0,0
MOT17-02-FRCNN,130,11,9,0.36160945892333984,0.09914146882672414,2.49878597973937,0.633,59,121,0.432,-1,3.9,0.069,0,1
MOT17-02-FRCNN,158,13,13,0.4417855739593506,0.09632504399107589,4.177424214950398,0.049,-1,145,0.16,-1,5.2,0.06,0,0
MOT17-02-FRCNN,162,36,10,0.17576217651367188,0.14129440535426563,3.764680970541936,0.651,59,152,0.83,59,3.6,0.048,1,1
MOT17-02-FRCNN,165,47,1,0.40587425231933594,0.09621724846967239,0.8395393803757771,0.253,-1,164,0.254,-1,1.1,0.015,0,0
MOT17-02-FRCNN,166,57,10,0.17128735780715942,0.1327594124103555,6.828322971210059,0.638,28,156,0.637,28,8.0,0.087,1,1
MOT17-02-FRCNN,169,47,1,0.2009725570678711,0.016020545097860994,0.8281155175950846,0.274,-1,168,0.253,-1,1.1,0.015,0,0
MOT17-02-FRCNN,171,67,11,0.14760804176330566,0.10602869087591793,1.8188874177141572,0.377,-1,160,0.567,14,2.5,0.019,0,0
MOT17-02-FRCNN,171,47,1,0.22744274139404297,0.06561612114786453,0.7974041014465293,0.287,-1,170,0.281,-1,0.7,0.009,0,0
MOT17-02-FRCNN,176,19,3,0.22120893001556396,0.11666105875749222,4.6223252627916755,0.604,31,173,0.543,31,2.6,0.033,1,1
MOT17-02-FRCNN,177,72,2,0.5588138103485107,0.11499894825198764,2.054544411476424,0.278,-1,175,0.285,-1,4.2,0.035,0,0
MOT17-02-FRCNN,181,11,2,0.5050048828125,0.09644171936424528,1.6733282776885605,0.463,-1,179,0.481,-1,0.7,0.013,0,0
MOT17-02-FRCNN,181,72,1,0.4218618869781494,0.041966667335922914,1.801301860400895,0.285,-1,180,0.271,-1,1.1,0.009,0,0
MOT17-02-FRCNN,186,17,1,0.5659031867980957,0.09799026444223524,0.8625897635190651,0.321,-1,185,0.31,-1,2.3,0.027,0,0
MOT17-02-FRCNN,201,2,1,0.2829265594482422,0.09997066617201333,1.3106821631316465,0.406,-1,200,0.428,-1,1.7,0.019,0,0
MOT17-02-FRCNN,202,17,7,0.2717735767364502,0.1366387674205235,2.6485862478988764,0.222,-1,195,0.218,-1,1.0,0.012,0,0
MOT17-02-FRCNN,204,63,2,0.5535674095153809,0.14901317069718645,1.1020002267886697,0.125,-1,202,0.1,-1,0.9,0.01,0,0
MOT17-02-FRCNN,223,2,2,0.10205894708633423,0.09524778278457613,1.752879612072883,0.461,-1,221,0.458,-1,1.2,0.013,0,0
MOT17-02-FRCNN,226,86,3,0.18094462156295776,0.08838095378722732,0.3204132209128839,0.162,-1,223,0.177,-1,0.2,0.004,0,0
MOT17-02-FRCNN,243,73,5,0.1287606954574585,0.09314918775059078,1.4883346686703607,0.766,59,238,0.73,59,1.1,0.018,1,1
MOT17-02-FRCNN,246,9,7,0.13080406188964844,0.14175005720641676,1.406235040379841,0.486,-1,239,0.642,57,3.9,0.079,0,0
MOT17-02-FRCNN,246,73,2,0.14043134450912476,0.03599952198482059,0.8644206270143,0.824,59,244,0.825,59,0.9,0.014,1,1
MOT17-02-FRCNN,248,86,2,0.13164103031158447,0.05475506212310155,0.5139608856187613,0.447,-1,246,0.368,-1,0.4,0.008,0,0
MOT17-02-FRCNN,251,9,4,0.13225525617599487,0.13442549731284426,1.342079932597806,0.483,-1,247,0.476,-1,1.7,0.034,0,0
MOT17-02-FRCNN,253,86,1,0.19312065839767456,0.03133133736579463,0.5340540061230717,0.672,44,252,0.618,44,0.3,0.005,1,1
MOT17-02-FRCNN,256,51,17,0.4206812381744385,0.14087863302831438,8.54858972667391,0.456,-1,239,0.04,-1,20.7,0.27,0,0
MOT17-02-FRCNN,258,13,2,0.36867284774780273,0.04635379996369804,1.116627666514015,0.216,-1,256,0.208,-1,1.5,0.017,0,0
MOT17-02-FRCNN,260,73,14,0.42808055877685547,0.1432673404320164,1.6174001404049316,0.72,59,246,0.824,59,5.3,0.084,1,1
MOT17-02-FRCNN,271,87,2,0.5264139175415039,0.08254490700356953,2.3728268973503712,0.601,58,269,0.601,58,0.7,0.01,1,1
MOT17-02-FRCNN,280,51,16,0.22097241878509521,0.14931262994546868,8.326213084318725,0.783,67,264,0.63,67,4.9,0.057,1,1
MOT17-02-FRCNN,284,11,4,0.26424646377563477,0.061857175436227374,2.6276347302279968,0.519,59,280,0.472,-1,2.4,0.03,0,1
MOT17-02-FRCNN,288,51,2,0.3617058992385864,0.09070364142493414,4.5374813286031745,0.361,-1,286,0.408,-1,1.2,0.014,0,0
MOT17-02-FRCNN,291,77,1,0.564572811126709,0.12171642548325834,2.1124101898891925,0.0,-1,290,0.0,-1,2.8,0.029,0,0
MOT17-02-FRCNN,298,77,1,0.5970382690429688,0.085159455358778,1.960638243926446,0.0,-1,297,0.0,-1,4.0,0.035,0,0
MOT17-04-FRCNN,12,129,4,0.4113854169845581,0.13477524842371635,0.6973357982128362,0.696,92,8,0.686,92,2.1,0.012,1,1
MOT17-04-FRCNN,22,138,2,0.3004169464111328,0.11421165367171404,1.594382377798548,0.719,88,20,0.75,89,3.4,0.022,0,1
