seq,n_total,n_classifiable,n_correct,n_wrong,n_unclassified,wrong_rate,lost_duration_correct_med,lost_duration_wrong_med,lost_duration_correct_p75,lost_duration_wrong_p75,gpr_sigma_px_correct_med,gpr_sigma_px_wrong_med,gpr_sigma_px_correct_p75,gpr_sigma_px_wrong_p75,cost_correct_med,cost_wrong_med,cost_correct_p75,cost_wrong_p75,motion_ratio_correct_med,motion_ratio_wrong_med,motion_ratio_correct_p75,motion_ratio_wrong_p75,implied_speed_correct_med,implied_speed_wrong_med,implied_speed_correct_p75,implied_speed_wrong_p75,nearest_active_iou_correct_med,nearest_active_iou_wrong_med,nearest_active_iou_correct_p75,nearest_active_iou_wrong_p75,nearest_active_dist_correct_med,nearest_active_dist_wrong_med,nearest_active_dist_correct_p75,nearest_active_dist_wrong_p75,n_neighbors_correct_med,n_neighbors_wrong_med,n_neighbors_correct_p75,n_neighbors_wrong_p75
dancetrack0004,58.0,58.0,39.0,19.0,0.0,0.3275862068965517,1.0,2.0,2.0,4.0,8.897103665641838,11.010042780582172,12.598101200017261,12.57536918228275,0.3290174260685048,0.3618285728453345,0.3774249664733379,0.3909081515052936,1.38861949194176,0.6586297138872885,2.1561005558798545,1.2957083278155808,18.766841611863907,10.444572476413356,30.34848935062726,15.028980565038053,0.5116184018544012,0.5463193132727631,0.5979771958685056,0.6029167731162397,63.66976463233845,57.94086708887564,111.60800097765976,70.28032108578019,2.0,2.0,2.0,2.0
dancetrack0005,15.0,15.0,13.0,2.0,0.0,0.13333333333333333,2.0,2.0,3.0,2.5,10.595992781757255,11.010617589387774,12.731392378788248,11.387792670440657,0.2724637569849268,0.3655976440401205,0.320455689957044,0.38028962845953396,0.6166815336881075,1.5503599675028943,2.1841254199956173,1.937252941828656,8.516331691679706,19.072855057200147,15.08643934094473,19.231525131673074,0.5572841880664882,0.6511145093840676,0.6227341243119265,0.6738620855041609,77.50769771380436,60.88170960214071,85.93501381629228,64.099315604935,1.0,1.5,2.0,1.75
dancetrack0007,52.0,52.0,38.0,14.0,0.0,0.2692307692307692,2.0,3.0,3.0,6.0,4.1027717236309655,5.025284571634565,5.8197288505415194,6.0573850085013206,0.288531357462695,0.2538602616906074,0.36530137413910974,0.3220754177386573,1.3777335608361971,0.8829059607029677,1.91496887178578,1.310874161107788,7.139417886025159,4.390971213288771,11.825754808171288,9.494332611984191,0.5779008007151157,0.6269280507909545,0.626378604269431,0.6883800604514053,22.3488995043397,19.22456870386062,47.42880494112367,25.524935350864173,1.0,1.0,1.0,1.0
dancetrack0010,21.0,21.0,17.0,4.0,0.0,0.19047619047619047,2.0,2.0,3.0,2.5,8.107757752294575,22.54720772706832,8.900721591117783,33.58300544683688,0.2492192046265136,0.2805910880467488,0.4106235848773929,0.3127966592096015,1.6745183170182527,0.9166703770623874,2.5163107084882093,1.411429839601011,10.87258052661795,12.98659588993619,18.397383763247056,19.94849257235253,0.518249950517357,0.6050730245099909,0.6007870743348116,0.6195460731904703,70.78461767990132,31.642327368382865,79.73252602030952,38.903297394985636,1.0,1.0,2.0,1.0
dancetrack0014,141.0,135.0,99.0,36.0,6.0,0.26666666666666666,1.0,2.0,2.0,3.0,3.204727734751389,4.8089296888289645,4.854653160636594,7.165698325601594,0.2811559218206763,0.3161475368148105,0.37107623126164585,0.3903381904241941,1.3679922801249604,1.5184695936681338,2.6768789661652366,2.202133011427756,7.522132075572278,8.754752458620112,13.305430518577229,15.44714286816154,0.509251424292728,0.49641608226603007,0.6037104175785872,0.578004135585082,29.33127348496688,31.205039360552618,39.08661013123924,41.469806677394104,1.0,1.0,2.0,1.0
dancetrack0018,3.0,3.0,3.0,0.0,0.0,0.0,1.0,,1.0,,8.997005504696439,,13.88214263766712,,0.4160554722848638,,0.4249888709169307,,6.068287387662813,,6.233942040547278,,71.94541195367813,,86.83745946733171,,0.442579910120456,,0.47557463049324333,,140.8824182683358,,147.5258578536492,,1.0,,1.5,
dancetrack0019,135.0,135.0,105.0,30.0,0.0,0.2222222222222222,1.0,1.0,1.0,2.0,7.185150369541352,8.204240104800395,10.728118582278972,13.882827351447276,0.2836068935628675,0.33665586088123645,0.3617420385342558,0.3861486369683914,0.9945684428195234,1.4456895308782642,2.057761223960156,2.751824045161124,8.943440936971495,12.518780223646777,17.351610736760055,21.946577942386163,0.5180424440592312,0.573815864743294,0.5960537070040538,0.6439832103565676,31.69879672444872,32.76589286563018,50.48351771337542,47.00733669179152,2.0,2.0,2.0,2.0
dancetrack0025,129.0,124.0,103.0,21.0,5.0,0.1693548387096774,1.0,1.0,1.0,2.0,3.2537809779291127,3.3489785034758346,4.414289930812194,4.545074497754338,0.255413393949326,0.3099303910809993,0.34818502826926834,0.3579961867996787,1.295853264242932,1.9591495972236883,2.3294490804773607,2.94554386377392,5.885276003230093,9.126085372909367,10.735227443132338,16.20050843231345,0.3999832186250905,0.5407502705018007,0.5285010098020553,0.6115111568828714,38.89457792106955,23.30047007767196,76.31535127899014,31.15763167671697,1.0,1.0,2.0,1.0
dancetrack0026,168.0,152.0,97.0,55.0,16.0,0.3618421052631579,1.0,2.0,2.0,3.0,8.735734429222306,10.965786704426844,12.246211676424904,15.587509489711186,0.300693302077702,0.3256107777692769,0.3658988924284694,0.3989540599777849,1.047897461225269,1.0333173345113518,2.076562145865175,2.1011193045739844,10.410183782940916,10.128576143293206,17.943473668202497,19.603338591002604,0.4674432247512199,0.4972193214279871,0.5518274647959833,0.5838314915652434,45.50790122654874,51.086899151582585,62.32599277981856,58.924910155352876,1.0,1.0,2.0,2.0
dancetrack0030,10.0,10.0,7.0,3.0,0.0,0.3,1.0,1.0,1.5,3.5,4.130589419787305,4.168573603391375,4.573639499804564,8.366123292841745,0.2926876263426999,0.4085510647376393,0.33354253144752777,0.41501004619237747,1.7714256140869251,2.115035982258629,2.7602105742046836,4.32178069702587,6.133792528235202,28.319817308043685,19.041449419987305,29.454006319907485,0.4375584658156602,0.4522788250719849,0.49175649707244373,0.5844738661721367,62.89967698947744,30.43688071869845,72.28546862422708,45.10491259963174,1.0,1.0,3.0,1.0
